epoch,accuracy,loss,val_accuracy,val_loss
0,0.5964542627334595,0.664878249168396,0.6105148792266846,0.6548145413398743
1,0.6077978610992432,0.6496250033378601,0.6182584166526794,0.6394577026367188
2,0.6355114579200745,0.6339511275291443,0.6609156131744385,0.6127252578735352
3,0.6711384057998657,0.6056822538375854,0.6783045530319214,0.5982731580734253
4,0.6880179047584534,0.5907166600227356,0.6895802021026611,0.5857610106468201
5,0.6955236792564392,0.5818459391593933,0.693384051322937,0.5837661623954773
6,0.7061200737953186,0.5698815584182739,0.6984105706214905,0.5771324038505554
7,0.7183806300163269,0.5521707534790039,0.7027577757835388,0.5667575001716614
8,0.7262260317802429,0.5436392426490784,0.7100937366485596,0.5696747899055481
9,0.7367545366287231,0.5286498665809631,0.7013992667198181,0.5753117203712463
10,0.7453131079673767,0.5156899094581604,0.7121315002441406,0.5663968324661255
11,0.75791335105896,0.4987141788005829,0.7229995727539062,0.5589109659194946
12,0.7682719826698303,0.4790765345096588,0.7133541703224182,0.5699397921562195
13,0.7819929122924805,0.46058425307273865,0.710908830165863,0.5708694458007812
14,0.7968346476554871,0.43615803122520447,0.7183806300163269,0.584643542766571
15,0.8091631531715393,0.4099414050579071,0.7084635496139526,0.6123459339141846
16,0.8277407884597778,0.3772420883178711,0.708871066570282,0.616896390914917
